rid,text,rating,date,sentiment,score_val
teal-potion-4,Unique flavor and great energy boost. It's the perfect gamer's drink!,5,2023-05-18,POSITIVE,0.9998904466629028
red-potion-4,Good flavor and keeps me energized. The bottle design is really fun.,5,2023-05-17,POSITIVE,0.999889612197876
dragon-potion-4,Excellent energy drink for gamers. The tropical flavor is refreshing.,4,2023-05-16,POSITIVE,0.9998767375946045
blue-energy-potion-6,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",5,2023-05-15,POSITIVE,0.999864935874939
classic-leather-sneakers-10,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",5,2023-05-15,POSITIVE,0.9998451471328735
dark-red-potion-4,The cherry cola flavor is a win. Keeps me energized and focused.,5,2023-05-12,POSITIVE,0.9998745918273926
kids-light-up-sneakers-12,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,5,2023-05-10,POSITIVE,0.9998632669448853
hiking-boots-outdoor-12,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,5,2023-05-01,POSITIVE,0.9998654127120972
cat-ear-beanie-10,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",4,2023-05-01,POSITIVE,0.9984560012817383
blue-energy-potion-5,Really enjoyed the citrus flavor and the energy boost it gives.,5,2023-04-25,POSITIVE,0.9998840093612671
kids-light-up-sneakers-11,"Great concept, but the sizing is a bit off. Order a size larger.",3,2023-04-25,NEGATIVE,0.9941918253898621
chocolate-candy-box-10,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",5,2023-04-18,POSITIVE,0.9998902082443237
hiking-boots-outdoor-11,"The boots are durable, but the laces could be better quality.",4,2023-04-12,POSITIVE,0.8142091631889343
dragon-potion-3,This potion is a game changer. Love the energy boost and the flavor.,5,2023-04-11,POSITIVE,0.9998190999031067
men-running-shoes-10,"Light, comfortable, and nice design. I'm buying another pair.",5,2023-04-10,POSITIVE,0.9998525381088257
kids-light-up-sneakers-10,Highly recommend! These shoes are great for evening walks. Kids love them!,5,2023-04-10,POSITIVE,0.9998764991760254
red-potion-3,It's like a health potion for gamers! The energy boost is spot on.,4,2023-04-09,POSITIVE,0.99863201379776
teal-potion-3,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,5,2023-04-07,POSITIVE,0.9998599290847778
classic-leather-sneakers-9,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,3,2023-04-07,NEGATIVE,0.9981268048286438
dark-red-potion-3,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",5,2023-04-05,POSITIVE,0.9998582601547241
cat-ear-beanie-9,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,5,2023-04-05,POSITIVE,0.9998824596405029
blue-energy-potion-4,Great taste and doesn't give me a crash afterwards.,4,2023-04-01,POSITIVE,0.9944359064102173
women-sandals-10,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",4,2023-03-25,POSITIVE,0.9950153231620789
cat-ear-beanie-8,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",3,2023-03-25,POSITIVE,0.9761042594909668
hiking-boots-outdoor-10,"Good quality and comfortable, but a bit pricey.",4,2023-03-24,POSITIVE,0.9997726082801819
chocolate-candy-box-9,"The orange flavor wasn't my favorite, but the cherry ones are great.",4,2023-03-20,POSITIVE,0.999862790107727
red-potion-2,"Not only does it look cool, but it tastes great and gives a good energy boost!",5,2023-03-20,POSITIVE,0.9998849630355835
dragon-potion-2,Just what I need for long gaming sessions. Great flavor and energy boost.,5,2023-03-15,POSITIVE,0.9998794794082642
dark-red-potion-2,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",5,2023-03-14,POSITIVE,0.999826967716217
teal-potion-2,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",4,2023-03-14,POSITIVE,0.9997815489768982
blue-energy-potion-3,"Finally, an energy drink for gamers! It's just like a mana potion.",5,2023-03-10,NEGATIVE,0.8313129544258118
cat-ear-beanie-7,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",4,2023-03-10,POSITIVE,0.9998513460159302
men-running-shoes-9,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",3,2023-03-05,POSITIVE,0.9994767308235168
kids-light-up-sneakers-9,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",2,2023-03-05,NEGATIVE,0.9975760579109192
classic-leather-sneakers-8,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,5,2023-03-01,POSITIVE,0.9988638162612915
classic-leather-sneakers-7,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",4,2023-02-25,POSITIVE,0.9987898468971252
hiking-boots-outdoor-9,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",5,2023-02-22,POSITIVE,0.9998718500137329
blue-energy-potion-2,Perfect for long gaming nights. Love the taste and the cool bottle design.,5,2023-02-20,POSITIVE,0.9998824596405029
men-running-shoes-8,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",5,2023-02-20,POSITIVE,0.9998722076416016
kids-light-up-sneakers-8,Good quality and the lights are a nice touch. My kid wears them all the time.,4,2023-02-20,POSITIVE,0.9998800754547119
dragon-potion-1,"The tropical flavor is really good, and the energy kick is powerful.",5,2023-02-18,POSITIVE,0.9998849630355835
women-sandals-9,Stunning and comfortable. I wore them to a wedding and got so many compliments.,5,2023-02-17,POSITIVE,0.9998867511749268
chocolate-candy-box-8,"The box is nicely packaged, making it a great gift option.",5,2023-02-15,POSITIVE,0.9998840093612671
cat-ear-beanie-6,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,3,2023-02-15,POSITIVE,0.9995028972625732
dark-red-potion-1,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,4,2023-02-12,POSITIVE,0.9998854398727417
teal-potion-1,The mint and citrus blend is very refreshing. And the bottle design is great too!,5,2023-02-12,POSITIVE,0.999884843826294
red-potion-1,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,5,2023-02-10,POSITIVE,0.9998863935470581
chocolate-candy-box-7,These chocolates are so tasty! Love the variety of flavors.,5,2023-01-24,POSITIVE,0.9998853206634521
women-sandals-8,"Nice sandals, but they run a bit small. I recommend ordering a size up.",4,2023-01-23,POSITIVE,0.9912410378456116
blue-energy-potion-1,The design is just epic! And the energy boost is real.,4,2023-01-15,POSITIVE,0.9998830556869507
men-running-shoes-7,Really like the design and they're great for running. They're also easy to clean.,4,2023-01-15,POSITIVE,0.9998383522033691
kids-light-up-sneakers-7,These sneakers are worth every penny! They're durable and my kid loves them!,5,2023-01-15,POSITIVE,0.9998084902763367
hiking-boots-outdoor-8,"These are decent boots for hiking, but they took a while to break in.",3,2023-01-13,NEGATIVE,0.9876278638839722
classic-leather-sneakers-6,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",4,2023-01-10,POSITIVE,0.9948638081550598
cat-ear-beanie-5,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,4,2023-01-10,POSITIVE,0.9998546838760376
cat-ear-beanie-4,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",5,2022-12-25,POSITIVE,0.9998419284820557
chocolate-candy-box-6,"Bought the large box, and it's lasted quite a while. Great for when you need a sweet treat.",5,2022-12-18,POSITIVE,0.9998445510864258
women-sandals-7,These sandals are a must-have! They look amazing and feel great.,5,2022-12-18,POSITIVE,0.9998792409896851
hiking-boots-outdoor-7,Great traction and support. My feet stayed dry even in wet conditions.,5,2022-12-07,NEGATIVE,0.7891535758972168
men-running-shoes-6,"Shoes are okay, but the cushioning could be better.",3,2022-11-25,POSITIVE,0.5497913360595703
kids-light-up-sneakers-6,The shoes are great but the battery life for the lights could be better.,3,2022-11-25,NEGATIVE,0.9795312881469727
women-sandals-6,"Beautiful shoes, but not very comfortable. Good for short-term wear.",3,2022-11-20,POSITIVE,0.9769037365913391
classic-leather-sneakers-5,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,5,2022-11-20,POSITIVE,0.9990917444229126
hiking-boots-outdoor-6,These boots are perfect for hiking. They're comfortable and provide excellent support.,5,2022-11-10,POSITIVE,0.9998550415039062
chocolate-candy-box-5,"A bit pricey, but the quality of the chocolate is worth it.",4,2022-11-05,POSITIVE,0.9998667240142822
hiking-boots-outdoor-5,"Great boots! The size was perfect, and they're very comfortable.",5,2022-10-19,POSITIVE,0.9998812675476074
women-sandals-5,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",4,2022-10-14,POSITIVE,0.9992951154708862
men-running-shoes-5,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",4,2022-10-05,NEGATIVE,0.6967004537582397
kids-light-up-sneakers-5,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",4,2022-10-05,POSITIVE,0.6058599352836609
cat-ear-beanie-3,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",3,2022-10-05,POSITIVE,0.9997256398200989
chocolate-candy-box-4,The cherry flavor is amazing. Will be buying more.,5,2022-10-02,POSITIVE,0.999874472618103
